habitabilidad_key,rango_habitaciones_total,rango_habitaciones_dormir,nbi_vivienda_inadecuada_ind,nbi_hacinamiento_ind,nbi_sin_servicio_higienico_ind,nbi_ninios_no_asisten_ind,nbi_alta_dependencia_ind,categoria_carencias,brecha_multidimensional_ind
1,4 a 5 habitaciones,2 dormitorios,0,0,0,0,0,Sin carencias,0
2,3 habitaciones,3 dormitorios,0,0,0,0,0,Sin carencias,0
3,3 habitaciones,2 dormitorios,0,0,0,0,0,Sin carencias,0
4,2 habitaciones,1 dormitorio,0,0,0,0,0,Sin carencias,0
5,1 habitación,1 dormitorio,0,0,0,0,0,Sin carencias,0
6,6 a más habitaciones,4 a más dormitorios,0,0,0,0,0,Una carencia,0
7,6 a más habitaciones,1 dormitorio,0,0,0,0,0,Una carencia,0
8,4 a 5 habitaciones,2 dormitorios,0,0,0,0,0,Una carencia,0
9,3 habitaciones,2 dormitorios,0,0,0,0,0,Una carencia,0
10,2 habitaciones,2 dormitorios,0,0,0,0,0,Una carencia,0
11,4 a 5 habitaciones,4 a más dormitorios,0,0,0,0,0,Una carencia,0
12,6 a más habitaciones,2 dormitorios,0,0,0,0,0,Una carencia,0
13,2 habitaciones,1 dormitorio,0,0,0,0,0,Tres a cuatro carencias,1
14,4 a 5 habitaciones,3 dormitorios,0,0,0,0,0,Una carencia,0
15,3 habitaciones,2 dormitorios,0,0,0,0,0,Dos carencias,1
16,2 habitaciones,1 dormitorio,0,0,0,0,0,Una carencia,0
17,6 a más habitaciones,3 dormitorios,0,0,0,0,0,Una carencia,0
18,3 habitaciones,1 dormitorio,0,0,0,0,0,Dos carencias,1
19,4 a 5 habitaciones,2 dormitorios,0,0,0,0,0,Dos carencias,1
20,1 habitación,1 dormitorio,0,0,0,0,0,Dos carencias,1
21,2 habitaciones,1 dormitorio,0,0,0,0,0,Dos carencias,1
22,3 habitaciones,1 dormitorio,0,0,0,0,0,Tres a cuatro carencias,1
23,3 habitaciones,2 dormitorios,0,0,0,0,0,Cinco a más carencias,1
24,2 habitaciones,1 dormitorio,1,0,0,0,0,Tres a cuatro carencias,1
25,1 habitación,1 dormitorio,0,0,0,0,0,Tres a cuatro carencias,1
26,3 habitaciones,1 dormitorio,0,0,1,0,0,Cinco a más carencias,1
27,2 habitaciones,2 dormitorios,0,0,0,0,0,Tres a cuatro carencias,1
28,1 habitación,1 dormitorio,0,0,0,0,0,Cinco a más carencias,1
29,4 a 5 habitaciones,2 dormitorios,0,0,0,0,0,Tres a cuatro carencias,1
30,4 a 5 habitaciones,3 dormitorios,0,0,0,0,0,Tres a cuatro carencias,1
31,3 habitaciones,2 dormitorios,0,0,0,0,0,Tres a cuatro carencias,1
32,1 habitación,1 dormitorio,0,1,0,0,0,Tres a cuatro carencias,1
33,2 habitaciones,2 dormitorios,0,0,0,0,0,Dos carencias,1
34,4 a 5 habitaciones,1 dormitorio,0,0,0,0,0,Una carencia,0
35,6 a más habitaciones,3 dormitorios,1,0,0,0,0,Tres a cuatro carencias,1
36,3 habitaciones,1 dormitorio,1,0,1,0,0,Tres a cuatro carencias,1
37,4 a 5 habitaciones,1 dormitorio,1,0,0,0,0,Tres a cuatro carencias,1
38,6 a más habitaciones,4 a más dormitorios,0,0,0,0,0,Dos carencias,1
39,4 a 5 habitaciones,2 dormitorios,1,0,0,0,0,Tres a cuatro carencias,1
40,2 habitaciones,2 dormitorios,1,0,1,0,0,Tres a cuatro carencias,1
41,4 a 5 habitaciones,3 dormitorios,0,0,0,0,0,Dos carencias,1
42,1 habitación,1 dormitorio,1,1,0,0,0,Tres a cuatro carencias,1
43,6 a más habitaciones,3 dormitorios,0,0,0,0,0,Tres a cuatro carencias,1
44,1 habitación,1 dormitorio,1,0,0,0,0,Cinco a más carencias,1
45,6 a más habitaciones,4 a más dormitorios,1,0,0,0,0,Cinco a más carencias,1
46,1 habitación,1 dormitorio,1,1,0,0,0,Cinco a más carencias,1
47,4 a 5 habitaciones,3 dormitorios,1,0,0,0,0,Cinco a más carencias,1
48,3 habitaciones,1 dormitorio,1,0,0,0,0,Tres a cuatro carencias,1
49,4 a 5 habitaciones,3 dormitorios,0,0,0,0,0,Cinco a más carencias,1
50,2 habitaciones,2 dormitorios,1,0,0,0,0,Cinco a más carencias,1
51,3 habitaciones,1 dormitorio,1,0,0,0,0,Cinco a más carencias,1
52,6 a más habitaciones,4 a más dormitorios,0,0,0,0,0,Cinco a más carencias,1
53,3 habitaciones,1 dormitorio,1,0,1,0,0,Cinco a más carencias,1
54,2 habitaciones,2 dormitorios,0,1,0,0,0,Cinco a más carencias,1
55,2 habitaciones,1 dormitorio,1,1,1,0,0,Cinco a más carencias,1
56,4 a 5 habitaciones,3 dormitorios,0,0,0,0,0,Sin carencias,0
57,6 a más habitaciones,4 a más dormitorios,0,0,0,0,0,Sin carencias,0
58,4 a 5 habitaciones,4 a más dormitorios,0,0,0,0,0,Sin carencias,0
59,3 habitaciones,1 dormitorio,0,0,0,0,0,Una carencia,0
60,4 a 5 habitaciones,3 dormitorios,1,0,0,0,0,Tres a cuatro carencias,1
61,3 habitaciones,2 dormitorios,1,0,0,0,0,Dos carencias,1
62,1 habitación,1 dormitorio,1,0,0,0,0,Tres a cuatro carencias,1
63,3 habitaciones,2 dormitorios,1,0,0,0,0,Tres a cuatro carencias,1
64,1 habitación,1 dormitorio,0,0,0,0,0,Una carencia,0
65,4 a 5 habitaciones,3 dormitorios,1,0,0,0,0,Dos carencias,1
66,3 habitaciones,3 dormitorios,0,0,0,0,0,Dos carencias,1
67,1 habitación,1 dormitorio,0,0,1,0,0,Tres a cuatro carencias,1
68,2 habitaciones,2 dormitorios,0,0,1,0,0,Tres a cuatro carencias,1
69,1 habitación,1 dormitorio,0,1,0,0,1,Tres a cuatro carencias,1
70,6 a más habitaciones,2 dormitorios,0,0,0,0,0,Tres a cuatro carencias,1
71,6 a más habitaciones,1 dormitorio,0,0,0,0,0,Tres a cuatro carencias,1
72,6 a más habitaciones,4 a más dormitorios,0,0,0,0,0,Tres a cuatro carencias,1
73,4 a 5 habitaciones,1 dormitorio,0,0,1,0,0,Cinco a más carencias,1
74,1 habitación,1 dormitorio,0,0,1,0,0,Cinco a más carencias,1
75,4 a 5 habitaciones,4 a más dormitorios,0,0,0,0,0,Tres a cuatro carencias,1
76,3 habitaciones,1 dormitorio,0,0,0,0,0,Cinco a más carencias,1
77,4 a 5 habitaciones,1 dormitorio,0,0,0,0,0,Dos carencias,1
78,4 a 5 habitaciones,1 dormitorio,0,0,0,0,0,Tres a cuatro carencias,1
79,6 a más habitaciones,2 dormitorios,0,0,0,0,0,Dos carencias,1
80,2 habitaciones,2 dormitorios,0,1,1,0,0,Cinco a más carencias,1
81,2 habitaciones,2 dormitorios,0,0,0,0,0,Sin carencias,0
82,2 habitaciones,1 dormitorio,0,0,1,0,0,Tres a cuatro carencias,1
83,4 a 5 habitaciones,2 dormitorios,0,0,0,0,0,Cinco a más carencias,1
84,4 a 5 habitaciones,3 dormitorios,0,0,1,0,0,Cinco a más carencias,1
85,2 habitaciones,1 dormitorio,0,0,0,0,0,Cinco a más carencias,1
86,1 habitación,1 dormitorio,0,1,0,0,0,Una carencia,0
87,No especificado,No especificado,0,0,0,0,0,Una carencia,0
88,1 habitación,1 dormitorio,0,1,0,0,0,Dos carencias,1
89,2 habitaciones,2 dormitorios,1,0,0,0,0,Tres a cuatro carencias,1
90,3 habitaciones,3 dormitorios,1,0,0,0,0,Tres a cuatro carencias,1
91,2 habitaciones,1 dormitorio,1,0,0,0,0,Dos carencias,1
92,3 habitaciones,2 dormitorios,1,0,1,0,0,Tres a cuatro carencias,1
93,4 a 5 habitaciones,4 a más dormitorios,0,0,0,0,0,Dos carencias,1
94,3 habitaciones,1 dormitorio,0,0,0,0,0,Sin carencias,0
95,4 a 5 habitaciones,1 dormitorio,0,0,1,0,0,Tres a cuatro carencias,1
96,4 a 5 habitaciones,2 dormitorios,0,0,1,0,0,Tres a cuatro carencias,1
97,3 habitaciones,2 dormitorios,0,0,1,0,0,Tres a cuatro carencias,1
98,2 habitaciones,1 dormitorio,1,0,0,0,0,Cinco a más carencias,1
99,1 habitación,1 dormitorio,1,0,1,0,0,Cinco a más carencias,1
100,2 habitaciones,2 dormitorios,1,0,0,0,0,Dos carencias,1
101,1 habitación,1 dormitorio,0,1,1,0,0,Tres a cuatro carencias,1
102,2 habitaciones,1 dormitorio,1,0,1,0,0,Cinco a más carencias,1
