materiales_vivienda_key,material_pared_cod,material_pared,material_piso_cod,material_piso,material_techo_cod,material_techo,pared_precaria_ind,piso_precario_ind,techo_precario_ind,vivienda_material_precario_ind
1,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",1.0,Concreto armado,0,0,0,0
2,3.0,Adobe,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",0,0,0,0
3,1.0,Ladrillo o bloque de cemento,5.0,Cemento,1.0,Concreto armado,0,0,0,0
4,3.0,Adobe,5.0,Cemento,5.0,Caña o estera con torta de barro o cemento,0,0,0,0
5,1.0,Ladrillo o bloque de cemento,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",0,0,0,0
6,3.0,Adobe,5.0,Cemento,3.0,Tejas,0,0,0,0
7,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",1.0,Concreto armado,0,0,0,0
8,4.0,Tapia,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",0,0,0,0
9,4.0,Tapia,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",0,1,0,1
10,4.0,Tapia,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",0,0,0,0
11,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",0,0,0,0
12,3.0,Adobe,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",0,0,0,0
13,7.0,Madera,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",1,0,0,1
14,3.0,Adobe,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",0,1,0,1
15,5.0,Quincha,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",1,1,0,1
16,3.0,Adobe,6.0,Tierra,3.0,Tejas,0,1,0,1
17,3.0,Adobe,3.0,"Losetas, terrazos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",0,0,0,0
