vivienda_key,tipo_vivienda_cod,tipo_vivienda,material_pared_cod,material_pared,material_piso_cod,material_piso,material_techo_cod,material_techo,tenencia_vivienda_cod,tenencia_vivienda
1,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",1.0,Concreto armado,2,Propia totalmente pagada
2,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
3,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,1.0,Concreto armado,2,Propia totalmente pagada
4,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,5.0,Caña o estera con torta de barro o cemento,2,Propia totalmente pagada
5,4.0,Vivienda en casa de vecindad,3.0,Adobe,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
6,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
7,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,3.0,Tejas,2,Propia totalmente pagada
8,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,5.0,Cemento,1.0,Concreto armado,6,Cedida por otro hogar o institución
9,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",1.0,Concreto armado,2,Propia totalmente pagada
10,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,1.0,Concreto armado,6,Cedida por otro hogar o institución
11,1.0,Casa independiente,4.0,Tapia,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
12,1.0,Casa independiente,4.0,Tapia,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
13,1.0,Casa independiente,4.0,Tapia,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
14,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
15,1.0,Casa independiente,3.0,Adobe,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
16,1.0,Casa independiente,7.0,Madera,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
17,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",3,Propia por invasión
18,4.0,Vivienda en casa de vecindad,3.0,Adobe,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
19,1.0,Casa independiente,3.0,Adobe,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
20,1.0,Casa independiente,3.0,Adobe,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
21,1.0,Casa independiente,5.0,Quincha,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
22,1.0,Casa independiente,3.0,Adobe,6.0,Tierra,3.0,Tejas,2,Propia totalmente pagada
