geografia_key,ubigeo,dominio_cod,dominio,estrato_cod,estrato,latitud,longitud,altitud
1,10101,4,Sierra Norte,4,De 20 000 a 49 999 habitantes,-6.234386829,-77.869230754,2350.55706301
2,10101,4,Sierra Norte,4,De 20 000 a 49 999 habitantes,-6.219789096,-77.866251653,2365.03256481
3,10110,4,Sierra Norte,5,De 2 000 a 19 999 habitantes,-6.700434899,-77.799106925,2157.8254433
4,10307,7,Selva,5,De 2 000 a 19 999 habitantes,-5.950801463,-77.978353978,1318.04033865
5,10701,7,Selva,4,De 20 000 a 49 999 habitantes,-5.766427211,-78.454068084,561.8745657
6,10101,4,Sierra Norte,8,Área de Empadronamiento Rural simple,-6.257054085,-77.821308181,2653.0
7,10101,4,Sierra Norte,8,Área de Empadronamiento Rural simple,-6.255937598,-77.811565047,2599.0
8,10504,4,Sierra Norte,7,Área de Empadronamiento Rural compuesto,-6.318565,-77.960478333,2352.0
9,10504,4,Sierra Norte,7,Área de Empadronamiento Rural compuesto,-6.328146947,-77.968604478,2749.0
10,10501,4,Sierra Norte,6,De 500 a 1 999 habitantes,-6.136848647,-77.949819414,2300.49624872
11,10109,4,Sierra Norte,8,Área de Empadronamiento Rural simple,-6.47304744,-77.828796092,2726.0
12,10205,7,Selva,7,Área de Empadronamiento Rural compuesto,-4.93629,-78.202075,300.0
13,10205,7,Selva,7,Área de Empadronamiento Rural compuesto,-4.9652,-78.218898333,360.0
14,10401,7,Selva,7,Área de Empadronamiento Rural compuesto,-4.716103333,-78.056946667,224.0
15,10401,7,Selva,7,Área de Empadronamiento Rural compuesto,-4.686663333,-78.08077,225.0
16,10612,7,Selva,7,Área de Empadronamiento Rural compuesto,-6.133621667,-77.289571667,1640.0
17,10612,7,Selva,7,Área de Empadronamiento Rural compuesto,-6.20719,-77.260801667,1493.0
18,10205,7,Selva,7,Área de Empadronamiento Rural compuesto,-5.222701667,-78.332976667,331.0
19,10205,7,Selva,7,Área de Empadronamiento Rural compuesto,-5.232735,-78.256393333,326.0
20,21809,2,Costa Centro,2,De 100 000 a 499 999 habitantes,-9.119338972,-78.526040519,31.1940136514
21,21801,2,Costa Centro,2,De 100 000 a 499 999 habitantes,-9.069444379,-78.598210556,13.1859190083
22,21809,2,Costa Centro,2,De 100 000 a 499 999 habitantes,-9.134505393,-78.486894454,108.562106994
23,21801,2,Costa Centro,2,De 100 000 a 499 999 habitantes,-9.050032551,-78.58953074,56.8286305122
24,21809,2,Costa Centro,2,De 100 000 a 499 999 habitantes,-9.14936294,-78.505632018,20.3102510181
25,21101,2,Costa Centro,4,De 20 000 a 49 999 habitantes,-10.064263695,-78.148212622,12.0423691708
26,21808,2,Costa Centro,5,De 2 000 a 19 999 habitantes,-8.984481014,-78.615989007,19.7928894155
27,21105,5,Sierra Centro,6,De 500 a 1 999 habitantes,-9.928497338,-77.659146683,3149.28355187
28,20105,5,Sierra Centro,2,De 100 000 a 499 999 habitantes,-9.494021389,-77.539081096,2974.26312351
29,20105,5,Sierra Centro,2,De 100 000 a 499 999 habitantes,-9.467753673,-77.536958545,2967.25275985
30,22001,5,Sierra Centro,5,De 2 000 a 19 999 habitantes,-9.129863948,-77.756095561,2422.30563301
31,20702,5,Sierra Centro,6,De 500 a 1 999 habitantes,-8.978281881,-77.186594283,2805.69074629
32,20111,5,Sierra Centro,8,Área de Empadronamiento Rural simple,-9.550841667,-77.739818333,2832.0
33,21307,5,Sierra Centro,7,Área de Empadronamiento Rural compuesto,-8.928356667,-77.390965,3208.0
34,21307,5,Sierra Centro,7,Área de Empadronamiento Rural compuesto,-8.927061667,-77.365063333,3055.0
35,21402,5,Sierra Centro,8,Área de Empadronamiento Rural simple,-10.6071,-77.42294,720.0
36,22001,5,Sierra Centro,8,Área de Empadronamiento Rural simple,-9.1161,-77.737875,2652.0
37,22001,5,Sierra Centro,8,Área de Empadronamiento Rural simple,-9.12506,-77.727693333,3241.0
38,21604,5,Sierra Centro,8,Área de Empadronamiento Rural simple,-8.675286667,-77.377745,2983.0
39,21604,5,Sierra Centro,8,Área de Empadronamiento Rural simple,-8.694113333,-77.38976,3377.0
40,30101,6,Sierra Sur,3,De 50 000 a 99 999 habitantes,-13.630210453,-72.88410676,2461.07411768
41,30602,6,Sierra Sur,5,De 2 000 a 19 999 habitantes,-13.531119728,-73.684002584,3145.68002457
42,30401,6,Sierra Sur,5,De 2 000 a 19 999 habitantes,-14.29566932,-73.245533166,2895.89562263
43,30602,6,Sierra Sur,5,De 2 000 a 19 999 habitantes,-13.54128565,-73.666950084,3378.71596846
44,30304,6,Sierra Sur,6,De 500 a 1 999 habitantes,-14.453234459,-72.912275707,3533.51405045
45,30503,6,Sierra Sur,8,Área de Empadronamiento Rural simple,-13.991788333,-72.434688333,3968.0
46,30503,6,Sierra Sur,8,Área de Empadronamiento Rural simple,-13.982765,-72.441003333,3872.0
47,30506,6,Sierra Sur,7,Área de Empadronamiento Rural compuesto,-14.166421667,-72.32569,3864.0
48,30506,6,Sierra Sur,7,Área de Empadronamiento Rural compuesto,-14.205715,-72.290273333,3938.0
49,30604,6,Sierra Sur,8,Área de Empadronamiento Rural simple,-13.332045,-73.67904,3295.0
50,30604,6,Sierra Sur,8,Área de Empadronamiento Rural simple,-13.33414,-73.68311,3346.0
51,30201,6,Sierra Sur,7,Área de Empadronamiento Rural compuesto,-13.689768333,-73.369455,3303.0
52,30201,6,Sierra Sur,7,Área de Empadronamiento Rural compuesto,-13.70568,-73.353355,3486.0
53,30203,6,Sierra Sur,7,Área de Empadronamiento Rural compuesto,-13.904745,-73.653066667,3126.0
54,30712,6,Sierra Sur,6,De 500 a 1 999 habitantes,-14.073190334,-72.621696016,2754.14825854
55,40129,6,Sierra Sur,1,De 500 000 a más habitantes,-16.43321362,-71.521489852,2352.40500157
56,40104,6,Sierra Sur,1,De 500 000 a más habitantes,-16.360971567,-71.623364737,2355.84752335
