fact_hogar_bienestar_key,conglome,vivienda,hogar,tiempo_key,geografia_key,vivienda_key,materiales_vivienda_key,habitabilidad_key,tenencia_propiedad_key,agua_key,saneamiento_key,energia_key,conectividad_key,factor_expansion,habitaciones_total,habitaciones_dormir,alquiler_mensual_reportado,alquiler_estimado_mensual,alquiler_anual_imputado,alquiler_estimado_anual_imputado,horas_agua_dia,dias_agua_semana,agua_red_publica_ind,agua_potable_ind,cloro_seguro_ind,agua_todos_dias_ind,agua_segura_ind,saneamiento_adecuado_ind,pared_precaria_ind,piso_precario_ind,techo_precario_ind,vivienda_material_precario_ind,nbi_vivienda_inadecuada_ind,nbi_hacinamiento_ind,nbi_sin_servicio_higienico_ind,nbi_ninios_no_asisten_ind,nbi_alta_dependencia_ind,tiene_electricidad_ind,combustible_limpio_ind,combustible_solido_ind,tiene_telefono_fijo_ind,tiene_celular_ind,tiene_tv_cable_ind,tiene_internet_ind,sin_tic_ind,tiene_tdt_ind,gasto_anual_servicios_pagado_hogar,gasto_anual_servicios_donado,gasto_anual_servicios_autoconsumo,gasto_anual_servicios_total,gasto_mensual_servicios_estimado,carencia_materiales_vivienda_ind,carencia_hacinamiento_ind,carencia_agua_segura_ind,carencia_saneamiento_ind,carencia_electricidad_ind,carencia_combustible_limpio_ind,carencia_internet_ind,total_carencias_bienestar_habitacional,brecha_multidimensional_ind
1,15009,12,11,1,1,1,1,1,1,1,1,1,1,87.2856903076172,4.0,2.0,,780.0,,9347.0,24.0,7.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1763.0,0.0,0.0,1763.0,146.91666666666666,0,0,0,0,0,0,0,0,0
2,15009,25,11,1,1,1,2,2,1,1,1,1,1,87.2856903076172,3.0,3.0,,225.0,,2696.0,24.0,7.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,2268.0,336.0,0.0,2604.0,217.0,0,0,0,0,0,0,0,0,0
3,15009,49,11,1,1,1,3,3,1,1,1,1,2,87.2856903076172,3.0,2.0,,785.0,,9407.0,24.0,7.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,3363.0,0.0,0.0,3363.0,280.25,0,0,0,0,0,0,0,0,0
4,15009,61,11,1,1,1,4,4,1,1,1,1,1,87.2856903076172,2.0,1.0,,180.0,,2146.0,24.0,7.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,346.0,476.0,0.0,822.0,68.5,0,0,0,0,0,0,0,0,0
5,15009,74,11,1,1,2,2,5,2,1,2,1,3,87.2856903076172,1.0,1.0,600.0,,7190.0,,24.0,7.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1881.0,0.0,0.0,1881.0,156.75,0,0,0,0,0,0,0,0,0
6,15009,86,11,1,1,1,5,6,1,2,1,1,1,87.2856903076172,7.0,6.0,,640.0,,7669.0,18.0,7.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1794.0,60.0,0.0,1854.0,154.5,0,0,1,0,0,0,0,1,0
7,15009,130,11,1,1,1,6,7,1,3,1,1,2,87.2856903076172,7.0,1.0,,905.0,,10844.0,24.0,7.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1643.0,586.0,0.0,2229.0,185.75,0,0,1,0,0,0,0,1,0
8,15024,26,11,2,2,1,2,8,1,3,1,1,2,288.225769042969,5.0,2.0,,270.0,,3235.0,24.0,7.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1927.0,0.0,0.0,1927.0,160.58333333333334,0,0,1,0,0,0,0,1,0
9,15024,39,11,2,2,1,5,9,1,2,1,1,1,288.225769042969,3.0,2.0,,210.0,,2516.0,24.0,7.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,795.0,0.0,0.0,795.0,66.25,0,0,1,0,0,0,0,1,0
10,15024,69,11,2,2,2,3,10,3,4,2,1,1,288.225769042969,2.0,2.0,,410.0,,4913.0,24.0,7.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,2107.0,180.0,0.0,2287.0,190.58333333333334,0,0,1,0,0,0,0,1,0
11,15024,98,11,2,2,1,7,9,1,2,1,1,2,288.225769042969,3.0,2.0,,730.0,,8747.0,3.0,7.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,4453.0,586.0,0.0,5039.0,419.9166666666667,0,0,1,0,0,0,0,1,0
12,15024,123,11,2,2,1,3,11,3,5,1,1,2,288.225769042969,5.0,4.0,,670.0,,7987.0,24.0,4.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1829.0,512.0,0.0,2341.0,195.08333333333334,0,0,1,0,0,0,0,1,0
13,15029,3,11,3,3,1,8,12,1,3,1,1,1,288.225769042969,6.0,2.0,,280.0,,3355.0,24.0,7.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,503.0,0.0,0.0,503.0,41.916666666666664,0,0,1,0,0,0,0,1,0
14,15029,17,11,3,3,1,9,13,1,6,1,2,1,288.225769042969,2.0,1.0,,65.0,,779.0,24.0,7.0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,938.0,719.0,0.0,1657.0,138.08333333333334,1,0,1,0,0,1,0,3,1
15,15029,47,11,3,3,1,10,14,3,6,1,1,1,288.225769042969,5.0,3.0,,270.0,,3235.0,24.0,7.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,3168.0,300.0,0.0,3468.0,289.0,0,0,1,0,0,0,0,1,0
16,15029,68,11,3,3,1,11,6,1,3,1,1,2,288.225769042969,7.0,4.0,,510.0,,6111.0,24.0,7.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,2985.0,0.0,0.0,2985.0,248.75,0,0,1,0,0,0,0,1,0
17,15040,9,11,4,4,1,12,9,1,6,1,1,1,159.204010009766,3.0,2.0,,250.0,,2996.0,24.0,7.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,782.0,0.0,0.0,782.0,65.16666666666667,0,0,1,0,0,0,0,1,0
18,15040,56,11,4,4,1,2,8,1,6,1,1,2,159.204010009766,4.0,2.0,,95.0,,1138.0,24.0,7.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,2526.0,0.0,0.0,2526.0,210.5,0,0,1,0,0,0,0,1,0
19,15040,77,11,4,4,1,3,9,3,6,1,1,1,159.204010009766,3.0,2.0,,175.0,,2097.0,24.0,7.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,2723.0,0.0,0.0,2723.0,226.91666666666666,0,0,1,0,0,0,0,1,0
20,15040,99,11,4,4,1,13,15,1,3,1,1,1,159.204010009766,3.0,2.0,,75.0,,899.0,12.0,7.0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1351.0,240.0,0.0,1591.0,132.58333333333334,1,0,1,0,0,0,0,2,1
21,15040,121,11,4,4,1,2,16,1,6,1,1,1,159.204010009766,2.0,0.0,,170.0,,2037.0,10.0,7.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,2127.0,0.0,0.0,2127.0,177.25,0,0,1,0,0,0,0,1,0
22,15040,142,11,4,4,1,2,17,1,3,1,1,2,159.204010009766,6.0,3.0,,280.0,,3355.0,24.0,7.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,2105.0,0.0,0.0,2105.0,175.41666666666666,0,0,1,0,0,0,0,1,0
23,15052,3,11,2,5,1,2,18,4,7,3,1,2,304.644378662109,3.0,1.0,,190.0,,2277.0,2.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1390.0,0.0,0.0,1390.0,115.83333333333333,0,0,1,1,0,0,0,2,1
24,15052,14,11,2,5,1,2,19,1,5,3,1,2,304.644378662109,4.0,2.0,,280.0,,3355.0,2.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,4015.0,0.0,0.0,4015.0,334.5833333333333,0,0,1,1,0,0,0,2,1
25,15052,24,11,2,5,2,14,20,1,8,2,3,1,304.644378662109,1.0,1.0,,140.0,,1678.0,2.0,3.0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,,,0,1,0,1,0,0,591.0,0.0,0.0,591.0,49.25,1,0,1,0,0,,0,2,1
26,15052,34,11,2,5,1,14,15,1,9,1,1,1,304.644378662109,3.0,2.0,,370.0,,4434.0,2.0,3.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,867.0,0.0,0.0,867.0,72.25,1,0,1,0,0,0,0,2,1
27,15052,42,11,2,5,1,2,14,1,7,1,1,2,304.644378662109,4.0,3.0,,200.0,,2397.0,2.0,3.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,2899.0,351.0,0.0,3250.0,270.8333333333333,0,0,1,0,0,0,0,1,0
28,15052,55,11,2,5,1,14,21,2,9,1,1,1,304.644378662109,2.0,1.0,150.0,,1797.0,,2.0,3.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1643.0,0.0,0.0,1643.0,136.91666666666666,1,0,1,0,0,0,0,2,1
29,15080,9,11,3,6,1,2,22,1,6,3,2,1,88.37109375,3.0,1.0,,115.0,,1378.0,24.0,7.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,237.0,0.0,779.0,1016.0,84.66666666666667,0,0,1,1,0,1,0,3,1
30,15080,10,11,3,6,1,14,23,1,6,4,4,4,88.37109375,3.0,2.0,,60.0,,719.0,24.0,7.0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,384.0,0.0,1043.0,1427.0,118.91666666666667,1,0,1,0,1,1,1,5,1
31,15080,12,11,3,6,1,15,24,1,6,4,2,4,88.37109375,2.0,1.0,,75.0,,899.0,24.0,7.0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,659.0,0.0,431.0,1090.0,90.83333333333333,1,0,1,0,0,1,1,4,1
